Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g190427-d6899058-Reviews-Hallstatt_Skywalk_Welterbeblick-Hallstatt_Upper_Austria.html,"Hallstatt Skywalk ""Welterbeblick""",Pontos turísticos e de interesse,"Salzbergstrasse 21, Hallstatt 4830, Áustria",N/A,N/A,1.225,"4,5",77%,19%,2%,1%,1%,True
/Attraction_Review-g190427-d8326861-Reviews-Old_Town-Hallstatt_Upper_Austria.html,Old Town,Pontos turísticos e de interesse,"Hallstatt 4830, Áustria",N/A,N/A,1.256,"4,5",73%,20%,5%,1%,1%,True
/Attraction_Review-g190427-d607563-Reviews-Salzwelten-Hallstatt_Upper_Austria.html,Salzwelten,Pontos turísticos e de interesse,"Salzbergstrasse 21, Hallstatt 4830, Áustria",N/A,N/A,1.500,"4,5",64%,26%,7%,2%,1%,True
/Attraction_Review-g190427-d11653470-Reviews-Hallstatter_See-Hallstatt_Upper_Austria.html,Hallstätter See,Natureza e parques,"Hallstatt 4830, Áustria",N/A,N/A,406,"4,5",79%,14%,5%,1%,1%,True
/Attraction_Review-g190427-d4621348-Reviews-Central_Square_Marktplatz-Hallstatt_Upper_Austria.html,Central Square Marktplatz,Pontos turísticos e de interesse,"Seestrasse, Hallstatt, Áustria",N/A,N/A,853,"4,5",61%,30%,7%,1%,1%,True
/Attraction_Review-g190427-d607564-Reviews-Hallstatt_Ossuary-Hallstatt_Upper_Austria.html,Hallstatt Ossuary,Pontos turísticos e de interesse,"Maria am Berg | Öffnungszeiten: Von Mai bis Oktober täglich von 10.00 bis 18.00 Uhr., Hallstatt, Áustria",N/A,N/A,465,"4,0",40%,43%,15%,1%,1%,True
/Attraction_Review-g190427-d10420329-Reviews-Waldbachstrub_Waterfall-Hallstatt_Upper_Austria.html,Waldbachstrub Waterfall,Natureza e parques,"Erchentalweg, Hallstatt, Áustria",N/A,N/A,29,"4,5",73%,24%,0%,3%,0%,False
/Attraction_Review-g190427-d10717320-Reviews-Badestrand_Hallstatt-Hallstatt_Upper_Austria.html,Badestrand Hallstatt,Atividades ao ar livre,"Seelande 53, Hallstatt 4830, Áustria",N/A,N/A,55,"4,5",61%,32%,7%,0%,0%,True
/Attraction_Review-g190427-d1901355-Reviews-Museum_Hallstatt-Hallstatt_Upper_Austria.html,Museu Hallstatt,Museus,"Seestrasse 56, Hallstatt 4830, Áustria",N/A,N/A,187,"4,5",50%,37%,11%,1%,1%,False
/Attraction_Review-g190427-d8817831-Reviews-Hallstatt_Lutheran_Church-Hallstatt_Upper_Austria.html,Hallstatt Lutheran Church,Pontos turísticos e de interesse,"Landungsplatz 101, Hallstatt 4830, Áustria",N/A,N/A,216,"4,0",41%,37%,21%,1%,0%,True
/Attraction_Review-g190427-d6622250-Reviews-Parish_of_the_Assumption-Hallstatt_Upper_Austria.html,Parish of the Assumption,Pontos turísticos e de interesse,"Kirchenweg 40, Hallstatt 4830, Áustria",N/A,N/A,155,"4,5",50%,41%,9%,0%,0%,True
/Attraction_Review-g190427-d14063120-Reviews-Echernwand-Hallstatt_Upper_Austria.html,Echernwand,Atividades ao ar livre," | Parkplatz 2, Hallstatt, Áustria",Dom - Sáb,00:00 - 23:59,4,"5,0",75%,25%,0%,0%,0%,False
/Attraction_Review-g190427-d10189807-Reviews-EU_Shuttlebus_Group-Hallstatt_Upper_Austria.html,EU Shuttlebus Group,Transporte,"Hallstatt, Áustria",N/A,N/A,134,"5,0",95%,5%,0%,0%,0%,True
/Attraction_Review-g190427-d8286026-Reviews-Lake_Hallstatt_Explorer-Hallstatt_Upper_Austria.html,Lake Hallstatt Explorer,Atividades ao ar livre,N/A,N/A,N/A,127,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g190427-d4991676-Reviews-Hallstaettersee_Schifffahrt-Hallstatt_Upper_Austria.html,Hallstäettersee-Schifffahrt,Excursões,N/A,N/A,N/A,198,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g190427-d8489975-Reviews-Krumbock_Bootsverleih-Hallstatt_Upper_Austria.html,Krumbock Bootsverleih,Atividades ao ar livre,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g190427-d10400822-Reviews-Prague_Shuttle_Bus-Hallstatt_Upper_Austria.html,Prague Shuttle Bus,Transporte,"Seestrasse 99, Hallstatt 4830, Áustria",N/A,N/A,3,"4,5",33%,67%,0%,0%,0%,False
/Attraction_Review-g190427-d11921242-Reviews-Genussladen-Hallstatt_Upper_Austria.html,Genussladen,Compras,"Seestrasse 117, Hallstatt 4830, Áustria",N/A,N/A,1,"3,0",0%,0%,100%,0%,0%,False
/Attraction_Review-g190427-d16856594-Reviews-Trip_And_Shuttle-Hallstatt_Upper_Austria.html,Trip And Shuttle,Transporte,"Hallstatt, Áustria",Dom - Sáb,00:00 - 23:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g190427-d16856553-Reviews-Trip_And_Shuttle-Hallstatt_Upper_Austria.html,Trip And Shuttle,Transporte,"Hallstatt, Áustria",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
