Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g303400-d3207968-Reviews-Parque_do_Sabia-Uberlandia_State_of_Minas_Gerais.html,Parque do Sabiá,Diversão e jogos,"Avenida Anselmo Alves dos Santos | Santa Mônica, Uberlândia, Minas Gerais 38408-150, Brasil",Dom - Sáb,06:00 - 22:00,1.956,"4,5",59%,33%,6%,1%,1%,False
/Attraction_Review-g303400-d7116693-Reviews-Center_Convention_Uberlandia-Uberlandia_State_of_Minas_Gerais.html,Center Convention Uberlândia,Recursos para viajantes,"Avenida Joao Naves de Avila 1331, Uberlândia, Minas Gerais 38405-140, Brasil",N/A,N/A,361,"4,5",64%,31%,4%,0%,1%,True
/Attraction_Review-g303400-d3249671-Reviews-Church_of_Our_Lady_of_the_Rosary-Uberlandia_State_of_Minas_Gerais.html,Igreja de Nossa Senhora do Rosário,Pontos turísticos e de interesse,"Praca Rui Barbosa, Uberlândia, Minas Gerais 38400-174, Brasil",N/A,N/A,120,"4,5",54%,35%,10%,1%,0%,False
/Attraction_Review-g303400-d3248735-Reviews-Igreja_Nossa_Senhora_das_Dores-Uberlandia_State_of_Minas_Gerais.html,Igreja Nossa Senhora das Dores,Pontos turísticos e de interesse,"Rua Dom Barreto 60, Uberlândia, Minas Gerais 38400-206, Brasil",N/A,N/A,201,"4,5",69%,24%,6%,0%,1%,True
/Attraction_Review-g303400-d7273706-Reviews-Estadio_Municipal_Joao_Havelange_Parque_do_Sabia-Uberlandia_State_of_Minas_Gerais.html,Estádio Municipal João Havelange (Parque do Sabiá),Outras,"Av. José Roberto Migliorini - Santa Mônica | Parque Municipal Virgílio Galassi, Uberlândia, Minas Gerais, Brasil",N/A,N/A,166,"4,5",48%,38%,13%,1%,0%,False
/Attraction_Review-g303400-d3249680-Reviews-Praca_Tubal_Vilela-Uberlandia_State_of_Minas_Gerais.html,Praça Tubal Vilela,Natureza e parques,"Praca Tubal Vilela s/n, Uberlândia, Minas Gerais 38400-186, Brasil",N/A,N/A,641,"4,0",32%,36%,26%,5%,1%,False
/Attraction_Review-g303400-d3248726-Reviews-Museu_Municipal-Uberlandia_State_of_Minas_Gerais.html,Museu Municipal,Museus,"Praca Clarimundo Carneiro No 67, Uberlândia, Minas Gerais 38400-154, Brasil",N/A,N/A,124,"4,0",38%,36%,25%,1%,0%,False
/Attraction_Review-g303400-d6840632-Reviews-Praca_Sergio_Pacheco-Uberlandia_State_of_Minas_Gerais.html,Praça Sérgio Pacheco,Pontos turísticos e de interesse,"Triângulo Mineiro, Uberlândia, Minas Gerais 38411-070, Brasil",N/A,N/A,162,"4,0",24%,52%,19%,2%,3%,False
/Attraction_Review-g303400-d7273699-Reviews-Arena_Multiuso_Presidente_Tancredo_Neves-Uberlandia_State_of_Minas_Gerais.html,Arena Multiuso Presidente Tancredo Neves,Pontos turísticos e de interesse,"Avenida Anselmo Alves dos Santos 3415 | Complexo Parque do Sabiá, Uberlândia, Minas Gerais 38405-167, Brasil",N/A,N/A,64,"4,5",52%,40%,6%,1%,1%,False
/Attraction_Review-g303400-d3248728-Reviews-Casa_da_Cultura-Uberlandia_State_of_Minas_Gerais.html,Casa da Cultura,Pontos turísticos e de interesse,"Praca Coronel Carneiro 89, Uberlândia, Minas Gerais 38400-218, Brasil",N/A,N/A,116,"4,5",45%,41%,12%,1%,1%,False
/Attraction_Review-g303400-d4377682-Reviews-Uberlandia_Municipal_Museum-Uberlandia_State_of_Minas_Gerais.html,Museu Municipal de Uberlândia,Museus,"Praca Clarimundo Carneiro 67 | Centro, Uberlândia, Minas Gerais 38400-154, Brasil",Seg - Sex,08:00 - 18:00,63,"4,0",33%,41%,23%,3%,0%,False
/Attraction_Review-g303400-d10324015-Reviews-Arena_Race_Multieventos-Uberlandia_State_of_Minas_Gerais.html,Arena Race Multieventos,Pontos turísticos e de interesse,"Rodovia MGC 455, Km 9 | Zona Rural, Uberlândia, Minas Gerais 38408-150, Brasil",N/A,N/A,26,"3,5",36%,23%,19%,15%,7%,False
/Attraction_Review-g303400-d4126930-Reviews-Rondon_Pacheco_Theater-Uberlandia_State_of_Minas_Gerais.html,Teatro Rondon Pacheco,Concertos e shows,"Rua Santos Dumont 517, Uberlândia, Minas Gerais 38400-060, Brasil",N/A,N/A,178,"4,0",48%,28%,21%,2%,1%,False
/Attraction_Review-g303400-d4377684-Reviews-Indigenous_Museum-Uberlandia_State_of_Minas_Gerais.html,Museu do Índio,Museus,"Rua Vitalino Rezende do Carmo 116 | Santa Maria, Uberlândia, Minas Gerais 38408-028, Brasil",N/A,N/A,39,"4,0",38%,35%,23%,2%,2%,False
/Attraction_Review-g303400-d4377680-Reviews-Biodiversidade_do_Cerrado_Museum-Uberlandia_State_of_Minas_Gerais.html,Museu de Biodiversidade do Cerrado,Museus,"Avenida Nossa Senhora do Carmo 707 | Jardim America, Uberlândia, Minas Gerais 38401-710, Brasil",N/A,N/A,79,"4,0",45%,29%,24%,0%,2%,False
/Attraction_Review-g303400-d7273685-Reviews-Oficina_Cultural_de_Uberlandia-Uberlandia_State_of_Minas_Gerais.html,Oficina Cultural de Uberlândia,Pontos turísticos e de interesse,"Rua Tiradentes 24 | Centro Histórico, Uberlândia, Minas Gerais 38400-200, Brasil",N/A,N/A,49,"4,5",48%,40%,12%,0%,0%,False
/Attraction_Review-g303400-d9998604-Reviews-Paroquia_Sao_Cristovao-Uberlandia_State_of_Minas_Gerais.html,Paróquia São Cristóvão,Pontos turísticos e de interesse,"Rua Padre Americo Ceppi 190, Uberlândia, Minas Gerais 38400-672, Brasil",N/A,N/A,19,"4,5",74%,21%,5%,0%,0%,False
/Attraction_Review-g303400-d10519723-Reviews-Parque_Municipal_da_Gavea-Uberlandia_State_of_Minas_Gerais.html,Parque Municipal da Gávea,Diversão e jogos,"Avenida dos Vinhedos | Morada da Colina, Uberlândia, Minas Gerais 38411-159, Brasil",Dom - Sáb,07:00 - 18:00,21,"3,5",23%,36%,23%,4%,14%,False
/Attraction_Review-g303400-d3249677-Reviews-Estacao_Ferroviaria_Sobradinho-Uberlandia_State_of_Minas_Gerais.html,Estação Ferroviária Sobradinho,Pontos turísticos e de interesse,"Fazenda Sobradinho, Uberlândia, Minas Gerais, Brasil",N/A,N/A,27,"3,5",18%,50%,25%,0%,7%,False
/Attraction_Review-g303400-d12043634-Reviews-Igreja_Batista_do_Evangelho_Pleno-Uberlandia_State_of_Minas_Gerais.html,Igreja Batista do Evangelho Pleno,Pontos turísticos e de interesse,"Avenida Jose Fonseca E Silva No 807, Uberlândia, Minas Gerais 38414-097, Brasil",Dom,09:00 - 11:00,8,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g303400-d4377678-Reviews-Minerals_and_Rocks_Museum-Uberlandia_State_of_Minas_Gerais.html,Museu Minerais e Rochas,Museus,"Avenida Joao Naves de Avila Bloco 1q Campus Santa Monica 2121 | 1st Floor, Uberlândia, Minas Gerais 38400-902, Brasil",N/A,N/A,33,"4,0",33%,43%,18%,6%,0%,False
/Attraction_Review-g303400-d3249672-Reviews-Espirito_Santo_do_Cerrado_Church-Uberlandia_State_of_Minas_Gerais.html,Igreja Espírito Santo do Cerrado,Pontos turísticos e de interesse,"Av. dos Mognos, 355 | Jaraguá, Uberlândia, Minas Gerais 38413-075, Brasil",N/A,N/A,44,"4,5",54%,27%,13%,6%,0%,False
/Attraction_Review-g303400-d12678231-Reviews-Cdl_Centro_De_Convencoes_E_Eventos-Uberlandia_State_of_Minas_Gerais.html,Cdl Centro De Convenções E Eventos,Pontos turísticos e de interesse,"Avenida Belo Horizonte 1290, Uberlândia, Minas Gerais 38400-454, Brasil",N/A,N/A,5,"4,5",80%,0%,20%,0%,0%,False
/Attraction_Review-g303400-d4377681-Reviews-Museu_Universitario_de_Arte-Uberlandia_State_of_Minas_Gerais.html,Museu Universitário de Arte,Museus,"Praca Cicero Macedo 309 | Fundinho, Uberlândia, Minas Gerais 38400-216, Brasil",N/A,N/A,34,"4,5",38%,54%,8%,0%,0%,False
/Attraction_Review-g303400-d3248749-Reviews-Headquarters_of_the_Circle_of_Christian_Workers_of_Uberlandia-Uberlandia_State_of.html,Sede do Círculo de Trabalhadores Cristãos de Uberlândia,Pontos turísticos e de interesse,"Rua Bernardo Guimaraes 344, Uberlândia, Minas Gerais 38400-198, Brasil",N/A,N/A,10,"4,0",40%,40%,10%,10%,0%,False
/Attraction_Review-g303400-d4127389-Reviews-Palco_de_Arte_Theater-Uberlandia_State_of_Minas_Gerais.html,Teatro Palco de Arte,Concertos e shows,"Rua Coronel Manoel Alves 22, Uberlândia, Minas Gerais 38400-226, Brasil",N/A,N/A,13,"4,5",47%,38%,15%,0%,0%,False
/Attraction_Review-g303400-d3249678-Reviews-Capela_Nossa_Senhora_do_Rosario_de_Miraporanga-Uberlandia_State_of_Minas_Gerais.html,Capela Nossa Senhora do Rosário de Miraporanga,Pontos turísticos e de interesse,"Distrito de Miraporanga, Uberlândia, Minas Gerais, Brasil",N/A,N/A,21,"4,0",28%,40%,28%,4%,0%,False
/Attraction_Review-g303400-d4377685-Reviews-Uberlandense_Herbarium-Uberlandia_State_of_Minas_Gerais.html,Herbario Uberlandense,Museus,"Rua Rio Grande do norte 2.552 | Umuarama, Uberlândia, Minas Gerais 38402-016, Brasil",N/A,N/A,17,"4,5",48%,47%,5%,0%,0%,False
/Attraction_Review-g303400-d4127600-Reviews-Estacao_Cultura_Theater-Uberlandia_State_of_Minas_Gerais.html,Estação Cultura - Teatro,Concertos e shows,"Praca Francisco Cotta Pacheco 14, Uberlândia, Minas Gerais 38400-348, Brasil",N/A,N/A,16,"4,0",31%,63%,0%,6%,0%,False
/Attraction_Review-g303400-d4127278-Reviews-Grande_Othelo_Theater-Uberlandia_State_of_Minas_Gerais.html,Teatro Grande Othelo,Concertos e shows,"Avenida Joao Pinheiro 1.789, Uberlândia, Minas Gerais 38400-124, Brasil",N/A,N/A,52,"2,5",11%,13%,17%,23%,36%,False
