Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g303401-d12177615-Reviews-Via_Cafe_Garden_Shopping-Varginha_State_of_Minas_Gerais.html,Via Café Garden Shopping,Compras,"R. Humberto Pizo, 999 | Jd. Petrópolis, Varginha, Minas Gerais 37026-280, Brasil",N/A,N/A,77,"4,0",36%,49%,14%,0%,1%,True
/Attraction_Review-g303401-d4127031-Reviews-Capitolio_Theater-Varginha_State_of_Minas_Gerais.html,Theatro Capitólio,Concertos e shows,"Rua Presidente Antônio Carlos, 522 | Centro, Varginha, Minas Gerais 37002-003, Brasil",N/A,N/A,87,"4,5",42%,46%,12%,0%,0%,False
/Attraction_Review-g303401-d8806390-Reviews-ET_Spaceship-Varginha_State_of_Minas_Gerais.html,Nave do ET,Pontos turísticos e de interesse,"Praça Getúlio Vargas, Varginha, Minas Gerais 37002-035, Brasil",N/A,N/A,171,"3,5",21%,22%,43%,9%,5%,False
/Attraction_Review-g303401-d4127645-Reviews-Mestrinho_Theater-Varginha_State_of_Minas_Gerais.html,Teatro Mestrinho,Concertos e shows,"Praca Champagnat 68, Varginha, Minas Gerais 37002-150, Brasil",N/A,N/A,36,"4,5",41%,54%,5%,0%,0%,False
/Attraction_Review-g303401-d8622440-Reviews-Zoologico_de_Varginha-Varginha_State_of_Minas_Gerais.html,Zoológico de Varginha,Atividades ao ar livre,"Rua Petropolis, Varginha, Minas Gerais 37006-650, Brasil",N/A,N/A,64,"3,5",20%,20%,43%,7%,10%,False
/Attraction_Review-g303401-d4377726-Reviews-Varginha_Municipal_Museum-Varginha_State_of_Minas_Gerais.html,Museu Municipal Varginha,Museus,"Praça Gov. Benedito Valadares, 141, Varginha, Minas Gerais 37002-020, Brasil",Seg - Sex,07:00 - 11:00,36,"4,0",22%,40%,33%,5%,0%,False
/Attraction_Review-g303401-d13163345-Reviews-Melao-Varginha_State_of_Minas_Gerais.html,Melao,Pontos turísticos e de interesse,"Varginha, Minas Gerais, Brasil",N/A,N/A,4,"4,0",25%,50%,25%,0%,0%,False
/Attraction_Review-g303401-d10376187-Reviews-Morro_do_Chapeu-Varginha_State_of_Minas_Gerais.html,Morro do Chapéu,Pontos turísticos e de interesse,"21°30'8s 45°26'19w, Varginha, Minas Gerais 57319-890, Brasil",N/A,N/A,10,"3,5",30%,20%,40%,10%,0%,False
/Attraction_Review-g303401-d12375921-Reviews-Parque_Municipal_Novo_Horizonte-Varginha_State_of_Minas_Gerais.html,Parque Municipal Novo Horizonte,Diversão e jogos,"Av. Pasteur, 698-832, Varginha, Minas Gerais 37026-031, Brasil",Dom - Sáb,07:00 - 17:30,8,"3,5",25%,12%,63%,0%,0%,False
/Attraction_Review-g303401-d9698044-Reviews-Cinemark-Varginha_State_of_Minas_Gerais.html,Cinemark,Diversão e jogos,"Rua Humberto Pizzo | Via Café Garden Shopping, Varginha, Minas Gerais 37100-000, Brasil",N/A,N/A,66,"4,5",57%,33%,10%,0%,0%,False
/Attraction_Review-g303401-d19071733-Reviews-Biblioteca_Publica_de_Varginha-Varginha_State_of_Minas_Gerais.html,Biblioteca Pública de Varginha,Recursos para viajantes,"Praça Governador Benedito Valadares, 141, Varginha, Minas Gerais 37002-020, Brasil",Seg - Sex,07:00 - 17:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
/Attraction_Review-g303401-d16801203-Reviews-Fundacao_Cultural_de_Varginha-Varginha_State_of_Minas_Gerais.html,Fundação Cultural de Varginha,Pontos turísticos e de interesse,"Praça Matheus Tavares, 121 | Estação Ferroviária de Varginha, Varginha, Minas Gerais 37002-320, Brasil",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
