Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g303428-d2342247-Reviews-Tambau_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia de Tambaú,Atividades ao ar livre,"Av. Alm. Tamandare - Tambau, João Pessoa, Paraíba 58033-455, Brasil",N/A,N/A,5.597,"4,0",43%,41%,14%,1%,1%,True
/Attraction_Review-g303428-d2342250-Reviews-Cabo_Branco_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia de Cabo Branco,Atividades ao ar livre,"Avenida Monsenhor Odilon Coutinho | Casa, João Pessoa, Paraíba 58045-120, Brasil",N/A,N/A,4.076,"4,5",45%,41%,12%,1%,1%,True
/Attraction_Review-g303428-d2342321-Reviews-Picaozinho_Embarcacao_Pirata-Joao_Pessoa_State_of_Paraiba.html,Picãozinho - Embarcação Pirata,Atividades ao ar livre," | Ilha Picãozinho no Oceano, João Pessoa, Paraíba, Brasil",N/A,N/A,2.498,"4,5",55%,30%,12%,2%,1%,True
/Attraction_Review-g303428-d4702338-Reviews-Igreja_Sao_Francisco-Joao_Pessoa_State_of_Paraiba.html,Igreja São Francisco,Pontos turísticos e de interesse,"Ladeira São Francisco, Centro, João Pessoa, Paraíba 58010-630, Brasil",Dom,09:00 - 14:00,2.756,"4,5",59%,32%,7%,1%,1%,True
/Attraction_Review-g303428-d2342253-Reviews-Bessa_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia do Bessa,Atividades ao ar livre,"João Pessoa, Paraíba, Brasil",Seg - Sáb,08:00 - 18:00,1.790,"4,0",43%,40%,15%,1%,1%,True
/Attraction_Review-g303428-d8342655-Reviews-Piscinas_Naturais_do_Seixas-Joao_Pessoa_State_of_Paraiba.html,Piscinas Naturais do Seixas,Natureza e parques,"Praia do Seixas, João Pessoa, Paraíba 58039-010, Brasil",N/A,N/A,1.103,"4,5",63%,25%,9%,2%,1%,True
/Attraction_Review-g303428-d4586364-Reviews-Centro_Historico_de_Joao_Pessoa-Joao_Pessoa_State_of_Paraiba.html,Centro Histórico de João Pessoa,Pontos turísticos e de interesse,"Centro Historico Joao Pessoa, João Pessoa, Paraíba, Brasil",N/A,N/A,1.630,"4,0",41%,35%,19%,4%,1%,True
/Attraction_Review-g303428-d2342193-Reviews-Cultural_Center_Sao_Francisco-Joao_Pessoa_State_of_Paraiba.html,Centro Cultural de São Francisco,Museus,"Praça São Francisco, João Pessoa, Paraíba 58010-650, Brasil",N/A,N/A,854,"4,5",58%,31%,9%,1%,1%,True
/Attraction_Review-g303428-d2342354-Reviews-Craft_Market_Paraibano-Joao_Pessoa_State_of_Paraiba.html,Mercado de Artesanato Paraibano,Compras,"Av. Sen. Rui Carneiro, 241, João Pessoa, Paraíba, Brasil",N/A,N/A,819,"4,0",40%,45%,13%,1%,1%,True
/Attraction_Review-g303428-d2342347-Reviews-Espaco_Cultural_Jose_Lins_Do_Rego-Joao_Pessoa_State_of_Paraiba.html,Espaço Cultural José Lins Do Rego,Recursos para viajantes,"Rua Abdias Gomes de Almeida 800 | Funesc, João Pessoa, Paraíba 58042-900, Brasil",Seg - Sex,09:00 - 18:00,249,"4,5",48%,40%,8%,2%,2%,True
