City,Code,Description
Uberlândia,g303400,Uberlandia_State_of_Minas_Gerais
Varginha,g303401,Varginha_State_of_Minas_Gerais
São Paulo,g303631,Sao_Paulo_State_of_Sao_Paulo
Belém,g303404,Belem_State_of_Para
Belo Horizonte,g303374,Belo_Horizonte_State_of_Minas_Gerais
Campinas,g303605,Campinas_State_of_Sao_Paulo
Diamantina,g303380,Diamantina_State_of_Minas_Gerais
Fortaleza,g303293,Fortaleza_State_of_Ceara
Limeira,g303617,Limeira_State_of_Sao_Paulo
Londrina,g303451,Londrina_State_of_Parana
Natal,g303518,Natal_State_of_Rio_Grande_do_Norte
Campo Grande,g303369,Campo_Grande_State_of_Mato_Grosso_do_Sul
Santo André,g303624,Santo_Andre_State_of_Sao_Paulo
São José dos Pinhais,g303455,Sao_Jose_Dos_Pinhais_State_of_Parana
São Luís,g673267,Sao_Luis_State_of_Maranhao
São Miguel,g303524,Sao_Miguel_State_of_Rio_Grande_do_Norte
Vitória,g303320,Vitoria_State_of_Espirito_Santo
