Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified,Latitude,Longitude
/Attraction_Review-g303631-d311966-Reviews-Parque_Ibirapuera-Sao_Paulo_State_of_Sao_Paulo.html,Parque Ibirapuera,Natureza e parques,"Av. Pedro Álvares Cabral | Vila Mariana, São Paulo, Estado de São Paulo 04094-050, Brasil",Dom - Sáb,05:00 - 00:00,36.534,"4,5",65%,29%,4%,1%,1%,True,-23.59161,-46.65056
/Attraction_Review-g303631-d550339-Reviews-Paulista_Avenue-Sao_Paulo_State_of_Sao_Paulo.html,Avenida Paulista,Pontos turísticos e de interesse,"Av. Paulista, São Paulo, Estado de São Paulo 01311-200, Brasil",,,29.104,"4,5",62%,29%,7%,1%,1%,True,-23.55731,-46.66108
/Attraction_Review-g303631-d4377562-Reviews-Corinthians_Arena-Sao_Paulo_State_of_Sao_Paulo.html,Arena Corinthians,Pontos turísticos e de interesse,"Avenida Miguel Ignacio Curi, 111 | Itaquera, São Paulo, Estado de São Paulo 08295-005, Brasil",Dom - Sáb,09:30 - 16:30,4.423,"4,5",81%,14%,3%,1%,1%,True,-23.54623,-46.47236
/Attraction_Review-g303631-d2349915-Reviews-Allianz_Parque-Sao_Paulo_State_of_Sao_Paulo.html,Allianz Parque,Pontos turísticos e de interesse,"Avenida Francisco Matarazzo 1705 | Água Branca, São Paulo, Estado de São Paulo 05001-200, Brasil",Dom - Sáb,10:00 - 17:00,5.138,"4,5",74%,21%,3%,1%,1%,True,-23.52581,-46.67978
/Attraction_Review-g303631-d1407969-Reviews-Museu_do_Futebol-Sao_Paulo_State_of_Sao_Paulo.html,Museu do Futebol,Museus,"Praça Charles Miller, S/N | Estádio do Pacaembu, São Paulo, Estado de São Paulo 01234-900, Brasil",Ter - Dom,09:00 - 17:00,9.404,"4,5",61%,32%,5%,1%,1%,True,-23.54495,-46.6658
/Attraction_Review-g303631-d311969-Reviews-Pinacoteca_do_Estado_de_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html,Pinacoteca do Estado de São Paulo,Museus,"Praça da Luz, 2, São Paulo, Estado de São Paulo 01120-010, Brasil",Qua - Seg,10:00 - 17:30,13.72,"4,5",70%,25%,3%,1%,1%,True,-23.53478,-46.6341
/Attraction_Review-g303631-d311974-Reviews-Municipal_Market_of_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html,Mercado Municipal de São Paulo,Gastronomia,"Rua da Cantareira 306, São Paulo, Estado de São Paulo 01024-000, Brasil",Dom,07:00 - 16:00,22.67,"4,5",54%,36%,8%,1%,1%,True,-23.54183,-46.62991
/Attraction_Review-g303631-d1793914-Reviews-Catavento_Cultural_e_Educacional-Sao_Paulo_State_of_Sao_Paulo.html,Catavento Cultural e Educacional,Museus,"Praca Civica Ulisses Guimaraes | Palácio das Indústrias, São Paulo, Estado de São Paulo 03003-060, Brasil",Ter - Dom,09:00 - 17:00,7.5360000000000005,"4,5",72%,24%,2%,1%,1%,True,0.0,0.0
/Attraction_Review-g303631-d532186-Reviews-Jardim_Botanico_de_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html,Jardim Botânico de São Paulo,Museus,"Avenida Miguel Estefno 3031 | Água Funda, São Paulo, Estado de São Paulo 04301-902, Brasil",Ter - Dom,09:00 - 17:00,3.3760000000000003,"4,5",62%,31%,5%,1%,1%,True,-23.64405,-46.6264
/Attraction_Review-g303631-d317946-Reviews-Liberdade-Sao_Paulo_State_of_Sao_Paulo.html,Bairro da Liberdade,Pontos turísticos e de interesse,"São Paulo, Estado de São Paulo, Brasil",,,12.62,"4,5",47%,39%,12%,1%,1%,True,-23.20497,-47.30416
